name,url,type,first_color,last_image_url
Embroidered tracksuit jacket,https://us.maje.com/en/p/embroidered-tracksuit-jacket/MFPSW00178_2517.html,jacket,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwb350ea26/images/packshot/Maje_MFPSW00178-2517_F_P.jpg?sw=1520&sh=2000
Dual-material pleated skort,https://us.maje.com/en/p/dual-material-pleated-skort/MFPJU01319_2517.html,skort,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw286201f2/images/packshot/Maje_MFPJU01319-2517_F_P.jpg?sw=1520&sh=2000
Wide-leg striped jogging bottoms,https://us.maje.com/en/p/wide-leg-striped-jogging-bottoms/MFPPA00646_2517.html,bottoms,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf1c70432/images/packshot/Maje_MFPPA00646-2517_F_P.jpg?sw=1520&sh=2000
Embroidered rhinestone polo dress,https://us.maje.com/en/p/embroidered-rhinestone-polo-dress/MFPRO03711_2517.html,dress,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwad19f519/images/packshot/Maje_MFPRO03711-2517_F_P.jpg?sw=1520&sh=2000
Embroidered suit jacket,https://us.maje.com/en/p/embroidered-suit-jacket/MFPVE00586_2517.html,jacket,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2dc954c0/images/packshot/Maje_MFPVE00586-2517_F_P.jpg?sw=1520&sh=2000
Short pleated skort,https://us.maje.com/en/p/short-pleated-skort/MFPJU01342_10.html,skort,White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw4da945cf/images/packshot/Maje_MFPJU01342-10_F_P.jpg?sw=1520&sh=2000
Striped and embroidered polo shirt,https://us.maje.com/en/p/striped-and-embroidered-polo-shirt/MFPSW00177_O001.html,shirt,Black/White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwdb25d6ef/images/packshot/Maje_MFPSW00177-O001_F_P.jpg?sw=1520&sh=2000
Short sequin dress,https://us.maje.com/en/p/short-sequin-dress/MFPRO03690_G005.html,dress,Brown,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwbf8d8515/images/packshot/Maje_MFPRO03690-G005_F_P.jpg?sw=1520&sh=2000
Longline wool cardigan,https://us.maje.com/en/p/longline-wool-cardigan/MFPCA00560_0103.html,cardigan,Navy,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw633dce5f/images/packshot/Maje_MFPCA00560-0103_F_P.jpg?sw=1520&sh=2000
Sequin knit short dress,https://us.maje.com/en/p/sequin-knit-short-dress/MFPRO03825_0006.html,dress,White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw7f7a682e/images/packshot/Maje_MFPRO03825-0006_F_P.jpg?sw=1520&sh=2000
Knitted jumper with rhinestones,https://us.maje.com/en/p/knitted-jumper-with-rhinestones/MFPCA00555_0505.html,jumper,Grey,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw2d2b4490/images/packshot/Maje_MFPCA00555-0505_F_P.jpg?sw=1520&sh=2000
Pleated knit short skirt,https://us.maje.com/en/p/pleated-knit-short-skirt/MFPJU01286_2517.html,skirt,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw794bb70a/images/packshot/Maje_MFPJU01286-2517_F_P.jpg?sw=1520&sh=2000
Knit crop jumper with rhinestones,https://us.maje.com/en/p/knit-crop-jumper-with-rhinestones/MFPPU00801_0183.html,jumper,Navy,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf181b477/images/packshot/Maje_MFPPU00801-0183_F_P.jpg?sw=1520&sh=2000
Knitted jumper with rhinestones,https://us.maje.com/en/p/knitted-jumper-with-rhinestones/MFPPU00858_0012.html,jumper,Anthracite,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw087fdac4/images/packshot/Maje_MFPPU00858-0012_F_P.jpg?sw=1520&sh=2000
2-in-1 cashmere cardigan,https://us.maje.com/en/p/2-in-1-cashmere-cardigan/MFPCA00518_0012.html,cardigan,Anthracite,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwf801c0ca/images/packshot/Maje_MFPCA00518-0012_F_P.jpg?sw=1520&sh=2000
Knit jumper with rhinestone neck,https://us.maje.com/en/p/knit-jumper-with-rhinestone-neck/MFPPU00863_2517.html,neck,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw247b38e9/images/packshot/Maje_MFPPU00863-2517_F_P.jpg?sw=1520&sh=2000
Sleeveless sequin jumper,https://us.maje.com/en/p/sleeveless-sequin-jumper/MFPPU00860_0012.html,jumper,Anthracite,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwbf7522ac/images/packshot/Maje_MFPPU00860-0012_F_P.jpg?sw=1520&sh=2000
Cardigan with jewellery neck,https://us.maje.com/en/p/cardigan-with-jewellery-neck/MFPPU00847_0103.html,neck,Navy,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw481c1eb3/images/packshot/Maje_MFPPU00847-0103_F_P.jpg?sw=1520&sh=2000
Sequin knit cardigan,https://us.maje.com/en/p/sequin-knit-cardigan/MFPCA00543_0006.html,cardigan,Off White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwa3f1f49a/images/packshot/Maje_MFPCA00543-0006_F_P.jpg?sw=1520&sh=2000
Knit skirt with sequins,https://us.maje.com/en/p/knit-skirt-with-sequins/MFPJU01299_0505.html,sequins,Grey,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw53d54813/images/packshot/Maje_MFPJU01299-0505_F_P.jpg?sw=1520&sh=2000
Sequin knit cardigan,https://us.maje.com/en/p/sequin-knit-cardigan/MFPPU00866_0012.html,cardigan,Anthracite,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw9a03fb80/images/packshot/Maje_MFPPU00866-0012_F_P.jpg?sw=1520&sh=2000
Short sequinned knit skirt,https://us.maje.com/en/p/short-sequinned-knit-skirt/MFPJU01356_0006.html,skirt,Off White,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1b5132ef/images/packshot/Maje_MFPJU01356-0006_F_P.jpg?sw=1520&sh=2000
Sequinned knit top,https://us.maje.com/en/p/sequinned-knit-top/MFPTO01055_0505.html,top,Grey,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw4cc1c8e2/images/packshot/Maje_MFPTO01055-0505_F_P.jpg?sw=1520&sh=2000
Sequinned cardigan,https://us.maje.com/en/p/sequinned-cardigan-/MFPCA00509_G005.html,cardigan,Brown,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw204b502a/images/packshot/Maje_MFPCA00509-G005_F_P.jpg?sw=1520&sh=2000
Knit crop jumper with rhinestones,https://us.maje.com/en/p/knit-crop-jumper-with-rhinestones/MFPPU00801_0103.html,jumper,Navy,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwa334fc33/images/packshot/Maje_MFPPU00801-0103_F_P.jpg?sw=1520&sh=2000
2-in-1 crochet dress,https://us.maje.com/en/p/2-in-1-crochet-dress/MFPRO03707_2517.html,dress,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwadc9d771/images/packshot/Maje_MFPRO03707-2517_F_P.jpg?sw=1520&sh=2000
Crochet cardigan,https://us.maje.com/en/p/crochet-cardigan-/MFPCA00524_2517.html,cardigan,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw244c449c/images/packshot/Maje_MFPCA00524-2517_F_P.jpg?sw=1520&sh=2000
Crochet-knit maxi dress,https://us.maje.com/en/p/crochet-knit-maxi-dress/MFPRO03708_2517.html,dress,Black,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe4a6254d/images/packshot/Maje_MFPRO03708-2517_F_P.jpg?sw=1520&sh=2000
Clover embroidery bomber,https://us.maje.com/en/p/clover-embroidery-bomber/MFPCA00545_0505.html,bomber,Grey,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dwe61148d1/images/packshot/Maje_MFPCA00545-0505_F_P.jpg?sw=1520&sh=2000
Wool Coat,https://us.maje.com/en/p/wool-coat/MFPOU01295_0012.html,coat,Anthracite,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw1a23d2b5/images/packshot/Maje_MFPOU01295-0012_F_P.jpg?sw=1520&sh=2000
Short wool-blend sweater,https://us.maje.com/en/p/short-wool-blend-sweater/MFPPU00810_0130.html,sweater,Beige,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw12afb362/images/packshot/Maje_MFPPU00810-0130_F_P.jpg?sw=1520&sh=2000
Sleeveless wool blend jumper,https://us.maje.com/en/p/sleeveless-wool-blend-jumper/MFPPU00805_0130.html,jumper,Beige,https://us.maje.com/dw/image/v2/AAON_PRD/on/demandware.static/-/Sites-maje-master-catalog/default/dw00191c80/images/packshot/Maje_MFPPU00805-0130_F_P.jpg?sw=1520&sh=2000
