name,url,type
Sequinned knit top,https://us.maje.com/en/p/sequinned-knit-top/MFPTO01055_0505.html,top
Sequinned cardigan,https://us.maje.com/en/p/sequinned-cardigan-/MFPCA00509_G005.html,cardigan
Knit crop jumper with rhinestones,https://us.maje.com/en/p/knit-crop-jumper-with-rhinestones/MFPPU00801_0103.html,jumper
2-in-1 crochet dress,https://us.maje.com/en/p/2-in-1-crochet-dress/MFPRO03707_2517.html,dress
Crochet cardigan,https://us.maje.com/en/p/crochet-cardigan-/MFPCA00524_2517.html,cardigan
Crochet-knit maxi dress,https://us.maje.com/en/p/crochet-knit-maxi-dress/MFPRO03708_2517.html,dress
Clover embroidery bomber,https://us.maje.com/en/p/clover-embroidery-bomber/MFPCA00545_0505.html,bomber
Wool Coat,https://us.maje.com/en/p/wool-coat/MFPOU01295_0012.html,coat
Short wool-blend sweater,https://us.maje.com/en/p/short-wool-blend-sweater/MFPPU00810_0130.html,sweater
Sleeveless wool blend jumper,https://us.maje.com/en/p/sleeveless-wool-blend-jumper/MFPPU00805_0130.html,jumper
Long studded cotton skirt,https://us.maje.com/en/p/long-studded-cotton-skirt/MFPJU01279_0130.html,skirt
Studded baggy trousers,https://us.maje.com/en/p/studded-baggy-trousers/MFPPA00649_0020.html,trousers
Puff-sleeved top,https://us.maje.com/en/p/puff-sleeved-top/MFPTO01038_L017.html,top
Shirt dress with bardot neckline,https://us.maje.com/en/p/shirt-dress-with-bardot-neckline-/MFPRO03820_L017.html,neckline
Patterned pleated dress,https://us.maje.com/en/p/patterned-pleated-dress/MFPRO03755_D045.html,dress
Illusion effect patterned dress,https://us.maje.com/en/p/illusion-effect-patterned-dress-/MFPRO03730_D044.html,dress
Satin-look patterned maxi dress,https://us.maje.com/en/p/satin-look-patterned-maxi-dress-/MFPRO03782_D044.html,dress
Satin-effect patterned short skirt,https://us.maje.com/en/p/satin-effect-patterned-short-skirt-/MFPJU01285_D044.html,skirt
Satin-effect patterned shirt,https://us.maje.com/en/p/satin-effect-patterned-shirt/MFPCM00574_D044.html,shirt
Printed smocked crop top,https://us.maje.com/en/p/printed-smocked-crop-top/MFPTO01058_D044.html,top
Patterned maxi dress,https://us.maje.com/en/p/patterned-maxi-dress/MFPRO03751_D045.html,dress
Layered shorts,https://us.maje.com/en/p/layered-shorts/MFPSH00574_F047.html,shorts
Crop top,https://us.maje.com/en/p/crop-top/MFPTO01042_F047.html,top
Short elasticated shirt dress,https://us.maje.com/en/p/short-elasticated-shirt-dress/MFPRO03715_2517.html,dress
Oversized poplin shirt,https://us.maje.com/en/p/oversized-poplin-shirt/MFPCM00572_10.html,shirt
Shirt with removable tie,https://us.maje.com/en/p/shirt-with-removable-tie-/MFPCM00568_0201.html,tie
2-in-1 striped dress,https://us.maje.com/en/p/2-in-1-striped-dress/MFPRO03664_D041.html,dress
Striped and rhinestone maxi dress,https://us.maje.com/en/p/striped-and-rhinestone-maxi-dress-/MFPRO03747_L027.html,dress
