Name,Type,Color,Image_URL
COZY FLEECE MEGA RAGLAN™ HOODIE,HOODIE,JAZZ BLUE,https://assets.aritzia.com/image/upload/medium/f24_a03_116266_30397_off_a.jpg
COZY FLEECE MEGA STRAIGHT™ SWEATPANT,SWEATPANT,JAZZ BLUE,https://assets.aritzia.com/image/upload/medium/f24_a06_116292_30397_off_a.jpg
STANDOUT BLAZER,BLAZER,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a04_112294_6046_off_a.jpg
LETO MERINO WOOL SWEATER,SWEATER,BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a03_122737_1564_off_a.jpg
VERITY PANT,PANT,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a06_122746_2819_off_a.jpg
CALLA PONTE LONGSLEEVE,LONGSLEEVE,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a02_123397_1274_off_a.jpg
ZONA BLAZER,BLAZER,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a04_122741_1274_off_a.jpg
CHISEL MAXI SKIRT,SKIRT,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a07_110265_2819_off_a.jpg
BOND DRESS,DRESS,RICH MOCHA BROWN,https://assets.aritzia.com/image/upload/medium/f24_a08_114316_18891_off_a.jpg
CASHMERE RELAXED CREW CARDIGAN,CARDIGAN,HEATHER CHARCOAL,https://assets.aritzia.com/image/upload/medium/f24_a03_122840_6046_off_a.jpg
BUREAU PANT,PANT,BLAKE H BLACK/CHROME,https://assets.aritzia.com/image/upload/medium/f24_a06_111799_33438_off_a.jpg
GLORY MERINO WOOL SWEATER,SWEATER,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a03_111233_2819_off_a.jpg
ZETA LONGSLEEVE,LONGSLEEVE,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a01_122726_1274_off_a.jpg
CORA LONGSLEEVE,LONGSLEEVE,WHITE,https://assets.aritzia.com/image/upload/medium/f24_a01_122727_1275_off_a.jpg
NICO MERINO WOOL SWEATER,SWEATER,BIRCH,https://assets.aritzia.com/image/upload/medium/f24_a03_122301_1564_off_a.jpg
ODELLE MERINO WOOL SWEATER,SWEATER,BLACK,https://assets.aritzia.com/image/upload/medium/f24_a03_121365_1274_off_a.jpg
FERNANDA DRESS,DRESS,DARK OLIVE,https://assets.aritzia.com/image/upload/medium/f24_a08_123511_2819_off_a.jpg
AUTOGRAPH DRESS,DRESS,HEATHER CHROME,https://assets.aritzia.com/image/upload/medium/f24_a08_120632_4425_off_a.jpg
