Name,Type,URL,Image_URL
Double Breasted Coat,Coat,https://www.amiparis.com/en-us/products/blue-wool-double-breasted-coat-fco110wv00494011,https://www.amiparis.com/cdn/shop/files/a5b4bf8e78b0ca9f5998a501ed303eba_66dfecac-ce02-4348-a4f7-15da55b8cdec.jpg?v=1732843496&width=500
Belted Mac,Mac,https://www.amiparis.com/en-us/products/blue-cotton-belted-mac-ujk505co00814018,https://www.amiparis.com/cdn/shop/files/5dcd4a694b4de6f44b241f7d0d3a0249.jpg?v=1732840453&width=500
Double Breasted Jacket,Jacket,https://www.amiparis.com/en-us/products/blue-wool-double-breasted-jacket-fbv217wv00264011,https://www.amiparis.com/cdn/shop/files/fa23eec3913632a4b8ac60ea676a6e2b_eb34ff67-8980-408c-9c88-39bb1fa8d1ae.jpg?v=1732843275&width=500
High Collar Coat,Coat,https://www.amiparis.com/en-us/products/blue-wool-high-collar-coat-fco008wv00494011,https://www.amiparis.com/cdn/shop/files/037576d8159ac3020bb262a6fb198fd5_eaf6b27a-0bc4-4150-8db8-e2248b276178.jpg?v=1732840472&width=500
Low Necked Tanktop,Tanktop,https://www.amiparis.com/en-us/products/blue-cotton-low-necked-tanktop-ftk128je00704011,https://www.amiparis.com/cdn/shop/files/a1cf3b5fa92f386aa72cfd211847a76e_ba233278-6f41-416a-b7f3-19286adf3f43.jpg?v=1732840398&width=500
Wide Elasticated Waist Trousers,Trousers,https://www.amiparis.com/en-us/products/blue-wool-wide-elasticated-waist-trousers-utr212wv00184011,https://www.amiparis.com/cdn/shop/files/965bff59e0f6027d4a3f6099a065fbd9.jpg?v=1732871951&width=500
Leather Two Buttons Jacket,Jacket,https://www.amiparis.com/en-us/products/beige-leather-leather-two-buttons-jacket-fbv109lh0045273,https://www.amiparis.com/cdn/shop/files/eae5e6d2fc284049499f317c36d5a3ce_36a8dd96-cfcb-4df5-a936-368387522bef.jpg?v=1732843492&width=500
Leather Straight Fit Trousers,Trousers,https://www.amiparis.com/en-us/products/beige-leather-leather-straight-fit-trousers-ftr514lh0045273,https://www.amiparis.com/cdn/shop/files/14ff92f063b38e3ef162739c90df777e_3d0ec0c3-5577-44ce-8c7a-6651a7f82cb2.jpg?v=1732841255&width=500
Ami Cropped Polo,Polo,https://www.amiparis.com/en-us/products/beige-wool-ami-cropped-polo-fpl318750255,https://www.amiparis.com/cdn/shop/files/eab6b0f923aae6338c5df97c500d2bd8_90c3772a-fe83-4f26-a522-230b6a0e0f93.jpg?v=1732843518&width=500
Button-Down Ami de Coeur Shirt,Shirt,https://www.amiparis.com/en-us/products/white-cotton-button-down-ami-de-coeur-shirt-ush060co0149150,https://www.amiparis.com/cdn/shop/files/37bf107c84f93e59da3e82c6ef0533e6_3bbd90ce-e1a1-447d-9af1-769481123301.jpg?v=1732873897&width=500
